ObjectID,extendPortTotalPrevious15MinDnDiscByteCounter,extendPortTotalPrevious15MinDnDiscFrameCounter,extendPortTotalPrevious15MinDnFwdByteCounter,extendPortTotalPrevious15MinDnFwdFrameCounter,extendPortTotalPrevious15MinTimeMeasured,extendPortTotalPrevious15MinUpDiscByteCounter,extendPortTotalPrevious15MinUpDiscFrameCounter,extendPortTotalPrevious15MinUpFwdByteCounter,extendPortTotalPrevious15MinUpFwdFrameCounter
R1.S1.LT4.PON3.ONT11.SERV1,0,0,6093,25,900,0,0,50729,88
R1.S1.LT7.PON11.ONT60.SERV1,0,0,6717,27,900,0,0,61765,105
R1.S1.LT3.PON9.ONT7.C14.P1,0,0,0,0,900,0,0,0,0
R1.S1.LT3.PON8.ONT13.C14.P1,0,0,286423885,223043,900,0,0,16257458,118723
R1.S1.LT8.PON13.ONT35.SERV1,0,0,0,0,900,0,0,0,0
R1.S1.LT6.PON6.ONT38.SERV1,0,0,74966,138,900,0,0,172751,211
R1.S1.LT5.PON13.ONT57.C14.P1,0,0,0,0,900,0,0,0,0
R1.S1.LT5.PON14.ONT7.C14.P1,0,0,0,0,900,0,0,0,0
R1.S1.LT2.PON14.ONT36.C14.P1,0,0,6079,63,900,0,0,12014,56
R1.S1.LT7.PON12.ONT13.C14.P1,0,0,2100,28,900,0,0,2044,28
R1.S1.LT7.PON10.ONT61.SERV1,0,0,5069,24,900,0,0,55641,96
R1.S1.LT7.PON9.ONT30.SERV1,0,0,78103,143,900,0,0,184138,225
R1.S1.LT2.PON13.ONT5.SERV1,0,0,0,0,900,0,0,0,0
R1.S1.LT5.PON4.ONT9.SERV1,0,0,5097,24,900,0,0,55946,96
R1.S1.LT2.PON1.ONT24.SERV1,0,0,79697,145,900,0,0,158219,182
R1.S1.LT8.PON15.ONT13.C14.P1,0,0,4233,60,900,0,0,3387,48
R1.S1.LT2.PON14.ONT10.C14.P1,0,0,214363825,165905,900,0,0,5978870,55128
R1.S1.LT4.PON12.ONT6.SERV1,0,0,5553,24,900,0,0,61796,104
R1.S1.LT7.PON9.ONT4.SERV1,0,0,0,0,900,0,0,0,0
R1.S1.LT4.PON12.ONT8.C14.P1,0,0,4301,61,900,0,0,3451,49
R1.S1.LT5.PON4.ONT6.C14.P1,0,0,22067,202,900,0,0,53748,484
R1.S1.LT7.PON9.ONT10.C14.P1,0,0,51597605,39068,900,0,0,1862716,12388
R1.S1.LT6.PON8.ONT11.C14.P1,0,0,344950498,276629,900,0,0,8173782,57303
R1.S1.LT4.PON1.ONT14.SERV1,0,0,0,0,900,0,0,0,0
R1.S1.LT5.PON3.ONT43.SERV1,0,0,0,0,900,0,0,0,0
R1.S1.LT6.PON8.ONT18.SERV1,0,0,75383,136,900,0,0,180828,224
R1.S1.LT6.PON8.ONT24.C14.P1,0,0,141693600,97129,900,0,0,6593194,66268
R1.S1.LT5.PON13.ONT42.SERV1,0,0,0,0,900,0,0,0,0
R1.S1.LT8.PON13.ONT49.SERV1,0,0,0,0,900,0,0,0,0
R1.S1.LT3.PON5.ONT45.SERV1,0,0,0,0,900,0,0,0,0
R1.S1.LT5.PON16.ONT31.C14.P1,0,0,126826,519,900,0,0,98242,876
R1.S1.LT4.PON11.ONT23.C14.P1,0,0,0,0,900,0,0,0,0
R1.S1.LT3.PON7.ONT32.C14.P1,0,0,92335,368,900,0,0,88644,561
R1.S1.LT5.PON13.ONT16.SERV1,0,0,0,0,900,0,0,0,0
R1.S1.LT6.PON5.ONT57.C14.P1,0,0,342200175,279738,900,0,0,33512213,142985
R1.S1.LT6.PON5.ONT51.SERV1,0,0,3965,22,900,0,0,54344,94
R1.S1.LT4.PON3.ONT4.C14.P1,0,0,69200516,54075,900,0,0,3556433,19102
R1.S1.LT4.PON2.ONT6.C14.P1,0,0,140693210,131058,900,0,0,14008348,63662
R1.S1.LT2.PON13.ONT18.SERV1,0,0,0,0,900,0,0,0,0
R1.S1.LT5.PON4.ONT22.SERV1,0,0,5712,26,900,0,0,58028,100
R1.S1.LT2.PON13.ONT31.SERV1,0,0,0,0,900,0,0,0,0
R1.S1.LT2.PON2.ONT19.C14.P1,0,0,0,0,900,0,0,0,0
R1.S1.LT3.PON7.ONT17.SERV1,0,0,110389,194,900,0,0,222823,255
R1.S1.LT6.PON10.ONT20.SERV1,0,0,5689,26,900,0,0,56405,98
R1.S1.LT5.PON4.ONT28.C14.P1,0,0,2911,40,900,0,0,2589,36
R1.S1.LT5.PON3.ONT49.C14.P1,0,0,0,0,900,0,0,0,0
R1.S1.LT2.PON14.ONT21.SERV1,0,0,0,0,900,0,0,0,0
R1.S1.LT3.PON7.ONT43.SERV1,0,0,4601,24,900,0,0,64268,109
R1.S1.LT2.PON13.ONT11.C14.P1,0,0,202312915,149733,900,0,0,6745427,55141
R1.S1.LT5.PON15.ONT37.C14.P1,0,0,0,0,900,0,0,0,0
R1.S1.LT6.PON12.ONT3.SERV1,0,0,0,0,900,0,0,0,0
R1.S1.LT7.PON9.ONT16.C14.P1,0,0,630949955,575499,900,0,0,37784151,255428
R1.S1.LT7.PON9.ONT25.C14.P1,0,0,56685463,45875,900,0,0,3245385,22494
R1.S1.LT8.PON15.ONT53.SERV1,0,0,0,0,900,0,0,0,0
R1.S1.LT6.PON9.ONT42.C14.P1,0,0,2100,28,900,0,0,2044,28
R1.S1.LT2.PON13.ONT31.C14.P1,0,0,0,0,900,0,0,0,0
R1.S1.LT2.PON14.ONT10.SERV1,0,0,86097,159,900,0,0,183011,219
R1.S1.LT2.PON14.ONT16.C14.P1,0,0,17487,187,900,0,0,46893,397
R1.S1.LT8.PON15.ONT27.SERV1,0,0,5320,28,900,0,0,60480,107
R1.S1.LT6.PON11.ONT18.SERV1,0,0,5069,24,900,0,0,63932,108
R1.S1.LT2.PON14.ONT42.C14.P1,0,0,21506,89,900,0,0,44082,87
R1.S1.LT5.PON14.ONT46.SERV1,0,0,0,0,900,0,0,0,0
