ObjectID,gponOntOntsideAggGemIntervalReceiveBlocksCounter64,gponOntOntsideAggGemIntervalReceiveFrags,gponOntOntsideAggGemIntervalTransmitBlocksCounter64,gponOntOntsideAggGemIntervalTransmitFrags
R1.S1.LT4.PON3.ONT6,1149114,60290,453379,227203
R1.S1.LT5.PON4.ONT6,585,237,2349,859
R1.S1.LT2.PON1.ONT3,1249487,47464,40146,14028
R1.S1.LT4.PON3.ONT3,4599233,157184,123168,69041
R1.S1.LT5.PON4.ONT3,6388746,528694,9947954,474058
R1.S1.LT6.PON5.ONT3,8062943,424296,5178538,308639
R1.S1.LT2.PON1.ONT4,2017,1279,589,166
R1.S1.LT2.PON4.ONT9,0,0,0,0
R1.S1.LT4.PON3.ONT4,1440113,55913,75204,20221
R1.S1.LT5.PON4.ONT4,232,104,1165,370
R1.S1.LT6.PON6.ONT3,3021239,122591,242115,74028
R1.S1.LT2.PON2.ONT4,6461025,233142,276337,93879
R1.S1.LT6.PON6.ONT4,3909,653,6669,1092
R1.S1.LT3.PON8.ONT4,144,99,302,71
R1.S1.LT4.PON1.ONT4,3662730,133818,212908,83151
R1.S1.LT4.PON2.ONT3,1700976,86353,589055,65962
R1.S1.LT4.PON2.ONT4,5270201,201948,213387,75387
R1.S1.LT4.PON3.ONT7,8226314,292163,176512,73404
R1.S1.LT5.PON4.ONT7,630,407,1039,432
R1.S1.LT6.PON5.ONT7,1723,225,3443,244
R1.S1.LT6.PON5.ONT8,20783669,743916,533574,215722
R1.S1.LT2.PON2.ONT7,28877609,1047337,3800889,718913
R1.S1.LT4.PON3.ONT8,81163,3650,8396,2197
R1.S1.LT5.PON4.ONT8,216,82,1552,533
R1.S1.LT6.PON6.ONT7,64774108,2139554,3723762,1433824
R1.S1.LT6.PON5.ONT5,137365,5511,10969,2729
R1.S1.LT2.PON1.ONT5,1097664,51854,104817,28863
R1.S1.LT4.PON3.ONT5,78920,5181,16386,4659
R1.S1.LT5.PON4.ONT5,185,71,1303,427
R1.S1.LT6.PON6.ONT8,2146,494,4396,675
R1.S1.LT3.PON8.ONT8,2969791,105345,93995,35975
R1.S1.LT3.PON9.ONT3,5665843,197757,223597,100505
R1.S1.LT4.PON1.ONT8,2908441,124573,217726,46759
R1.S1.LT4.PON2.ONT7,3096019,120528,95359,31784
R1.S1.LT3.PON8.ONT5,0,0,0,0
R1.S1.LT3.PON7.ONT6,17937252,713943,2440606,472093
R1.S1.LT3.PON9.ONT4,5449402,197046,169988,87642
R1.S1.LT4.PON1.ONT5,26672602,1228246,4521915,774350
R1.S1.LT4.PON2.ONT8,2856,415,3386,920
R1.S1.LT6.PON8.ONT4,314018,11266,10177,1884
R1.S1.LT2.PON4.ONT1,8267620,307586,366726,125013
R1.S1.LT3.PON8.ONT6,1448055,58534,88246,32735
R1.S1.LT4.PON1.ONT6,3066704,114545,187881,64412
R1.S1.LT4.PON2.ONT5,12310230,437456,473723,188064
R1.S1.LT3.PON7.ONT4,7884,3485,482,137
R1.S1.LT2.PON1.ONT9,10550052,382207,549884,124852
R1.S1.LT2.PON4.ONT2,1595202,58758,68542,29203
R1.S1.LT3.PON8.ONT3,3291373,120636,158775,68715
R1.S1.LT4.PON1.ONT3,5812469,203081,200187,83538
R1.S1.LT4.PON2.ONT6,2929881,134559,292512,66587
R1.S1.LT4.PON3.ONT9,234,84,1108,242
R1.S1.LT5.PON4.ONT9,3655089,150324,121668,37991
R1.S1.LT6.PON5.ONT9,3636077,152294,243849,53025
R1.S1.LT5.PON4.ONT2,1333,403,2666,976
R1.S1.LT2.PON1.ONT2,6577822,240246,291023,111325
R1.S1.LT2.PON2.ONT1,4349,540,4904,502
R1.S1.LT3.PON7.ONT9,18702054,699470,598484,321548
R1.S1.LT3.PON9.ONT7,169,59,1199,263
R1.S1.LT4.PON3.ONT2,386,194,1478,608
R1.S1.LT6.PON7.ONT8,4317,451,4972,410
R1.S1.LT6.PON8.ONT7,1691708,65508,94036,34335
R1.S1.LT6.PON9.ONT6,2795184,98770,84461,28902
R1.S1.LT7.PON9.ONT3,1032711,38353,168740,13101
R1.S1.LT2.PON2.ONT2,4943346,191039,165641,43279
R1.S1.LT3.PON8.ONT9,243,102,1413,457
R1.S1.LT3.PON9.ONT8,302,110,1207,335
R1.S1.LT4.PON1.ONT9,3557602,128478,72156,24714
R1.S1.LT6.PON6.ONT2,5605989,322967,868392,232190
R1.S1.LT6.PON8.ONT8,4460519,383157,9038995,375431
R1.S1.LT6.PON9.ONT3,9106711,313813,480600,201888
R1.S1.LT3.PON7.ONT7,1747891,96527,534010,73554
R1.S1.LT3.PON9.ONT5,254,98,1146,217
R1.S1.LT4.PON2.ONT9,95,65,333,128
R1.S1.LT6.PON7.ONT6,13113751,505828,1156078,187160
R1.S1.LT6.PON8.ONT5,574063,22298,52889,16857
R1.S1.LT6.PON9.ONT4,779301,27471,44230,17606
R1.S1.LT3.PON7.ONT8,68733281,2648162,7243463,1311077
R1.S1.LT3.PON8.ONT7,1673786,63314,92901,32646
R1.S1.LT3.PON9.ONT6,1403392,104265,3096709,150658
R1.S1.LT4.PON1.ONT7,14502622,541402,841027,280672
R1.S1.LT6.PON8.ONT6,1668,202,3754,260
R1.S1.LT2.PON4.ONT3,55,36,308,70
R1.S1.LT2.PON4.ONT4,51070166,1813555,682659,283897
R1.S1.LT2.PON4.ONT7,160,67,1259,353
R1.S1.LT2.PON4.ONT8,6019,531,3509,1058
R1.S1.LT2.PON4.ONT5,32017,5659,52871,7641
R1.S1.LT2.PON4.ONT6,231,103,1350,387
R1.S1.LT7.PON9.ONT7,2165,389,4141,948
R1.S1.LT6.PON7.ONT9,5974879,229885,158906,58738
R1.S1.LT6.PON9.ONT7,2221677,79454,120936,52707
R1.S1.LT7.PON9.ONT8,8920072,326457,621248,159465
R1.S1.LT6.PON9.ONT8,1247,166,3112,220
R1.S1.LT7.PON9.ONT5,2355842,83666,105790,41609
R1.S1.LT2.PON1.ONT1,0,0,0,0
R1.S1.LT4.PON3.ONT1,354,160,2004,681
R1.S1.LT5.PON4.ONT1,14386,1748,20199,2700
R1.S1.LT6.PON5.ONT1,17231,1522,8137,1694
R1.S1.LT6.PON7.ONT7,11728505,440463,348300,113312
R1.S1.LT6.PON9.ONT5,10246,5112,3797,296
R1.S1.LT7.PON9.ONT6,282,174,0,0
R1.S1.LT3.PON7.ONT1,9031,4845,298,69
R1.S1.LT3.PON8.ONT1,123,85,352,139
R1.S1.LT4.PON1.ONT1,6960713,237725,225747,123809
R1.S1.LT3.PON8.ONT2,3560282,128152,232296,92774
R1.S1.LT4.PON1.ONT2,30179908,1228230,7048513,606047
R1.S1.LT4.PON2.ONT1,9960926,364080,474018,195539
R1.S1.LT4.PON2.ONT2,0,0,0,0
R1.S1.LT6.PON9.ONT9,9385590,362958,484157,148445
R1.S1.LT6.PON9.ONT2,5533715,199158,362796,103034
R1.S1.LT6.PON7.ONT1,2914144,100542,170666,66067
R1.S1.LT3.PON9.ONT1,5240913,196054,263383,92776
R1.S1.LT6.PON7.ONT2,2396040,91183,1031868,57926
R1.S1.LT6.PON8.ONT1,6264117,256206,518682,76996
R1.S1.LT3.PON9.ONT2,10160952,363201,341923,172503
R1.S1.LT6.PON8.ONT2,8358579,293934,296032,126726
R1.S1.LT6.PON9.ONT1,19736799,669590,682736,225255
R1.S1.LT7.PON9.ONT2,206651,9557,38761,5742
R1.S1.LT2.PON4.ONT25,168,58,1128,308
R1.S1.LT3.PON8.ONT22,30643095,1097060,1129078,521340
R1.S1.LT4.PON1.ONT22,3444659,123020,131388,50753
R1.S1.LT4.PON2.ONT21,52551813,1970315,2814233,919231
R1.S1.LT7.PON9.ONT29,5132458,195044,423257,53614
R1.S1.LT3.PON7.ONT20,2304471,84675,120895,51412
R1.S1.LT4.PON2.ONT22,13581569,470190,125321,53856
R1.S1.LT6.PON9.ONT29,16646360,597099,322174,139832
R1.S1.LT3.PON8.ONT20,372,195,1135,359
R1.S1.LT4.PON1.ONT20,7782776,316405,571102,148367
R1.S1.LT7.PON9.ONT27,14190911,539193,614760,244446
R1.S1.LT2.PON1.ONT23,3032714,104783,99628,45811
R1.S1.LT4.PON2.ONT20,0,0,0,0
R1.S1.LT5.PON4.ONT23,212,97,1313,403
R1.S1.LT6.PON7.ONT29,5016710,193877,132808,46173
R1.S1.LT6.PON9.ONT27,3299620,125366,87323,31043
R1.S1.LT7.PON9.ONT28,1893,477,2819,599
R1.S1.LT3.PON7.ONT23,17604018,656694,448880,165520
R1.S1.LT6.PON8.ONT21,9877368,363001,677974,245635
R1.S1.LT6.PON9.ONT20,1265569,44070,53347,21671
R1.S1.LT3.PON7.ONT24,768514,56894,112506,34661
R1.S1.LT3.PON8.ONT23,482,223,1982,736
R1.S1.LT4.PON1.ONT23,247,105,1513,512
R1.S1.LT6.PON8.ONT22,4627202,173129,158622,62797
R1.S1.LT3.PON7.ONT21,35123065,1283305,714277,303388
R1.S1.LT6.PON7.ONT20,19166285,659070,421006,175825
R1.S1.LT3.PON8.ONT24,10425701,377407,279265,104148
R1.S1.LT4.PON1.ONT24,15545865,603963,648062,212493
R1.S1.LT4.PON2.ONT23,1157257,45085,115034,33102
R1.S1.LT3.PON7.ONT22,1919370,103922,269592,86984
R1.S1.LT3.PON8.ONT21,192,75,1103,366
R1.S1.LT4.PON1.ONT21,2119,225,4385,1019
R1.S1.LT6.PON8.ONT20,5233903,207070,1038166,126554
R1.S1.LT4.PON2.ONT24,1440257,52854,51749,17773
R1.S1.LT6.PON9.ONT24,2811593,352809,9286998,375678
R1.S1.LT6.PON7.ONT23,6034265,217561,191639,88338
R1.S1.LT6.PON9.ONT21,32990110,1140714,894695,434403
R1.S1.LT7.PON9.ONT22,68008,5121,18442,4371
R1.S1.LT6.PON7.ONT24,3966208,146644,146990,33275
R1.S1.LT6.PON8.ONT23,3304,430,7910,2729
R1.S1.LT6.PON9.ONT22,2758405,100606,117369,53206
R1.S1.LT6.PON7.ONT21,1957,218,4043,259
R1.S1.LT6.PON8.ONT24,2952828,100928,141041,67539
R1.S1.LT7.PON9.ONT23,1049717,63197,1031454,63841
R1.S1.LT6.PON9.ONT23,1750,221,3873,966
R1.S1.LT2.PON1.ONT28,5230941,212847,827871,120665
R1.S1.LT2.PON2.ONT27,4014216,204165,3745971,213420
R1.S1.LT5.PON4.ONT28,152,76,1515,499
R1.S1.LT6.PON5.ONT28,947912,35038,54392,17642
R1.S1.LT6.PON6.ONT27,147619,6460,14951,4675
R1.S1.LT2.PON1.ONT25,7820072,306954,1001502,167733
R1.S1.LT2.PON2.ONT28,192,90,1372,379
R1.S1.LT5.PON4.ONT25,6314064,314155,714065,164393
R1.S1.LT6.PON6.ONT28,7800101,391833,420758,162171
R1.S1.LT2.PON1.ONT26,2401,1231,2406,179
R1.S1.LT2.PON2.ONT25,6118176,212005,114747,52638
R1.S1.LT5.PON4.ONT26,216,100,1349,444
R1.S1.LT6.PON5.ONT26,9369,1331,10929,1428
R1.S1.LT6.PON6.ONT25,7181570,357261,2771983,177464
R1.S1.LT2.PON2.ONT26,2053,228,4135,887
R1.S1.LT6.PON6.ONT26,18726698,702208,1091246,314498
R1.S1.LT2.PON4.ONT21,2196831,83603,105959,29997
R1.S1.LT3.PON8.ONT26,176,71,1354,450
R1.S1.LT4.PON1.ONT26,118922,5199,10365,2834
R1.S1.LT4.PON2.ONT25,2711234,111739,195219,65656
R1.S1.LT2.PON4.ONT22,329019,16005,135279,13212
R1.S1.LT4.PON2.ONT26,385,211,1190,314
R1.S1.LT5.PON4.ONT29,7538680,273622,485642,170899
R1.S1.LT6.PON5.ONT29,1362,311,2761,736
R1.S1.LT2.PON2.ONT29,202,82,1206,346
R1.S1.LT6.PON6.ONT29,1727319,74346,174467,34837
R1.S1.LT2.PON1.ONT27,6353710,234572,263496,87906
R1.S1.LT2.PON4.ONT20,152,68,1367,375
R1.S1.LT5.PON4.ONT27,261,93,1364,452
R1.S1.LT6.PON5.ONT27,2601200,91777,118017,54300
R1.S1.LT5.PON4.ONT20,5565319,203072,233344,93462
R1.S1.LT6.PON5.ONT20,1218798,44208,56598,20867
R1.S1.LT2.PON1.ONT20,5598,1571,6249,516
R1.S1.LT3.PON7.ONT27,6483503,251921,369249,155558
R1.S1.LT4.PON2.ONT29,276774,26973,56232,24996
R1.S1.LT4.PON3.ONT20,224,105,1356,380
R1.S1.LT6.PON7.ONT26,103262459,3633978,8988299,2490867
R1.S1.LT6.PON8.ONT25,40161,2496,12771,2814
R1.S1.LT3.PON7.ONT28,35816394,1304738,1339092,557946
R1.S1.LT3.PON8.ONT27,208,101,1435,466
R1.S1.LT4.PON1.ONT27,9684802,367424,762637,211719
R1.S1.LT6.PON8.ONT26,25446539,1060767,1561954,756826
R1.S1.LT2.PON4.ONT23,412123,15525,14599,4069
R1.S1.LT3.PON7.ONT25,0,0,0,0
R1.S1.LT3.PON8.ONT28,892706,54428,3078436,133101
R1.S1.LT4.PON1.ONT28,235,77,1096,322
R1.S1.LT4.PON2.ONT27,1077708,39965,26869,11183
R1.S1.LT2.PON4.ONT24,19011,8651,33225,14883
R1.S1.LT3.PON7.ONT26,20976289,812735,1092101,470903
R1.S1.LT3.PON8.ONT25,276,114,1068,352
R1.S1.LT4.PON1.ONT25,49837,2284,6251,1647
R1.S1.LT4.PON2.ONT28,2038452,82491,151101,46963
R1.S1.LT2.PON1.ONT24,2539779,98651,212792,69307
R1.S1.LT5.PON4.ONT24,18722084,671295,535920,258414
R1.S1.LT2.PON2.ONT23,8769942,313776,297071,142874
R1.S1.LT6.PON5.ONT24,33657477,1447060,8142176,988051
R1.S1.LT6.PON6.ONT23,8949914,348537,568590,173585
R1.S1.LT6.PON8.ONT29,9538519,535153,2186858,274922
R1.S1.LT6.PON9.ONT28,2257,260,4350,1041
R1.S1.LT7.PON9.ONT25,1269361,49371,74168,24022
R1.S1.LT6.PON5.ONT21,13373204,477681,564380,203406
R1.S1.LT5.PON4.ONT21,533,114,2092,779
R1.S1.LT2.PON1.ONT21,4349873,153009,153405,51643
R1.S1.LT4.PON3.ONT21,2367,326,5648,1629
R1.S1.LT6.PON6.ONT24,19461384,714544,1186002,447059
R1.S1.LT6.PON7.ONT27,5055871,208938,1002238,121011
R1.S1.LT6.PON9.ONT25,1133,276,2833,729
