ObjectID,extendPortVlanPrevious15MinDnDiscByteCounter,extendPortVlanPrevious15MinDnDiscFrameCounter,extendPortVlanPrevious15MinDnFwdByteCounter,extendPortVlanPrevious15MinDnFwdFrameCounter,extendPortVlanPrevious15MinUpDiscByteCounter,extendPortVlanPrevious15MinUpDiscFrameCounter,extendPortVlanPrevious15MinUpFwdByteCounter,extendPortVlanPrevious15MinUpFwdFrameCounter
P180955072.C3000@R1.S1.LT4.PON10.ONT20.C14.P1,0,0,0,0,0,0,0,0
P248061888.C1000@R1.S1.LT6.PON10.ONT16.C14.P1,0,0,350674004,253167,0,0,15918548,72008
P247879663.C3001@R1.S1.LT6.PON7.ONT44.SERV1,0,0,47359,96,0,0,160777,212
P114047424.C3000@R1.S1.LT2.PON13.ONT29.C14.P1,0,0,21717,70,0,0,46016,78
P247868352.C1000@R1.S1.LT6.PON7.ONT22.C14.P1,0,0,0,0,0,0,0,0
P114230208.C1000@R1.S1.LT2.PON16.ONT2.C14.P1,0,0,508992015,365859,0,0,31923871,186567
P180487104.C1000@R1.S1.LT4.PON3.ONT2.C14.P1,0,0,0,0,0,0,0,0
P214845935.C3001@R1.S1.LT5.PON15.ONT37.SERV1,0,0,0,0,0,0,0,0
P113264623.C3001@R1.S1.LT2.PON1.ONT36.SERV1,0,0,0,0,0,0,0,0
P147091904.C1000@R1.S1.LT3.PON5.ONT57.C14.P1,0,0,0,0,0,0,0,0
P314652655.C3001@R1.S1.LT8.PON2.ONT28.SERV1,0,0,0,0,0,0,0,0
P214068160.C3000@R1.S1.LT5.PON3.ONT54.C14.P1,0,0,0,0,0,0,0,0
P113445871.C3001@R1.S1.LT2.PON4.ONT6.SERV1,0,0,5158,25,0,0,58032,100
P114034112.C3000@R1.S1.LT2.PON13.ONT3.C14.P1,0,0,39144,118,0,0,111353,136
P247880640.C3000@R1.S1.LT6.PON7.ONT46.C14.P1,0,0,0,0,0,0,0,0
P180968384.C3000@R1.S1.LT4.PON10.ONT46.C14.P1,0,0,0,0,0,0,0,0
P247866351.C3001@R1.S1.LT6.PON7.ONT18.SERV1,0,0,82635,148,0,0,173344,202
P247926720.C1000@R1.S1.LT6.PON8.ONT8.C14.P1,0,0,211337448,380478,0,0,432613732,373733
P248056256.C3000@R1.S1.LT6.PON10.ONT5.C14.P1,0,0,2250,30,0,0,2190,30
P114044399.C3001@R1.S1.LT2.PON13.ONT23.SERV1,0,0,0,0,0,0,0,0
P214837696.C1000@R1.S1.LT5.PON15.ONT21.C14.P1,0,0,0,0,0,0,0,0
P247946176.C3000@R1.S1.LT6.PON8.ONT46.C14.P1,0,0,2182,29,0,0,2126,29
P247728576.C3000@R1.S1.LT6.PON5.ONT5.C14.P1,0,0,2250,30,0,0,2190,30
P214919104.C1000@R1.S1.LT5.PON16.ONT52.C14.P1,0,0,221173512,158283,0,0,2873955,26219
P247809007.C3001@R1.S1.LT6.PON6.ONT34.SERV1,0,0,0,0,0,0,0,0
P314660288.C3000@R1.S1.LT8.PON2.ONT43.C14.P1,0,0,0,0,0,0,0,0
P315370432.C3000@R1.S1.LT8.PON13.ONT22.C14.P1,0,0,0,0,0,0,0,0
P214112192.C1000@R1.S1.LT5.PON4.ONT12.C14.P1,0,0,2617919287,1833907,0,0,105096237,780231
P214714816.C1000@R1.S1.LT5.PON13.ONT37.C14.P1,0,0,0,0,0,0,0,0
P214773743.C3001@R1.S1.LT5.PON14.ONT24.SERV1,0,0,0,0,0,0,0,0
P113261504.C1000@R1.S1.LT2.PON1.ONT30.C14.P1,0,0,0,0,0,0,0,0
P113314752.C1000@R1.S1.LT2.PON2.ONT6.C14.P1,0,0,0,0,0,0,0,0
P214840256.C3000@R1.S1.LT5.PON15.ONT26.C14.P1,0,0,0,0,0,0,0,0
P315512256.C1000@R1.S1.LT8.PON15.ONT43.C14.P1,0,0,0,0,0,0,0,0
P214701504.C1000@R1.S1.LT5.PON13.ONT11.C14.P1,0,0,0,0,0,0,0,0
P315383744.C3000@R1.S1.LT8.PON13.ONT48.C14.P1,0,0,0,0,0,0,0,0
P113274816.C1000@R1.S1.LT2.PON1.ONT56.C14.P1,0,0,207369994,186549,0,0,10215003,79283
P113272815.C3001@R1.S1.LT2.PON1.ONT52.SERV1,0,0,4311,20,0,0,63730,105
P147326912.C1000@R1.S1.LT3.PON9.ONT4.C14.P1,0,0,261827838,190374,0,0,8088451,84363
P114117056.C1000@R1.S1.LT2.PON14.ONT37.C14.P1,0,0,0,0,0,0,0,0
P247938543.C3001@R1.S1.LT6.PON8.ONT31.SERV1,0,0,0,0,0,0,0,0
P181013952.C3000@R1.S1.LT4.PON11.ONT7.C14.P1,0,0,0,0,0,0,0,0
P214785984.C1000@R1.S1.LT5.PON14.ONT48.C14.P1,0,0,0,0,0,0,0,0
P281703872.C3000@R1.S1.LT7.PON11.ONT59.C14.P1,0,0,2250,30,0,0,2190,30
P147262959.C3001@R1.S1.LT3.PON8.ONT7.SERV1,0,0,5158,25,0,0,65644,111
P114040815.C3001@R1.S1.LT2.PON13.ONT16.SERV1,0,0,85086,155,0,0,194241,222
P147194304.C3000@R1.S1.LT3.PON7.ONT1.C14.P1,0,0,0,0,0,0,0,0
P247747008.C1000@R1.S1.LT6.PON5.ONT41.C14.P1,0,0,0,0,0,0,0,0
P247887296.C3000@R1.S1.LT6.PON7.ONT59.C14.P1,0,0,2100,28,0,0,2044,28
P214060480.C1000@R1.S1.LT5.PON3.ONT39.C14.P1,0,0,0,0,0,0,0,0
P214772672.C1000@R1.S1.LT5.PON14.ONT22.C14.P1,0,0,0,0,0,0,0,0
P214780911.C3001@R1.S1.LT5.PON14.ONT38.SERV1,0,0,0,0,0,0,0,0
P214049216.C1000@R1.S1.LT5.PON3.ONT17.C14.P1,0,0,0,0,0,0,0,0
P281635311.C3001@R1.S1.LT7.PON10.ONT53.SERV1,0,0,109116,194,0,0,225476,266
P180364783.C3001@R1.S1.LT4.PON1.ONT19.SERV1,0,0,92384,166,0,0,194388,242
P214120431.C3001@R1.S1.LT5.PON4.ONT28.SERV1,0,0,3259,19,0,0,69979,115
P214767040.C3000@R1.S1.LT5.PON14.ONT11.C14.P1,0,0,0,0,0,0,0,0
P181078464.C3000@R1.S1.LT4.PON12.ONT5.C14.P1,0,0,20333,73,0,0,43369,73
P315367872.C3000@R1.S1.LT8.PON13.ONT17.C14.P1,0,0,0,0,0,0,0,0
P214708160.C1000@R1.S1.LT5.PON13.ONT24.C14.P1,0,0,0,0,0,0,0,0
P113316335.C3001@R1.S1.LT2.PON2.ONT9.SERV1,0,0,0,0,0,0,0,0
P147083247.C3001@R1.S1.LT3.PON5.ONT40.SERV1,0,0,0,0,0,0,0,0
P113266159.C3001@R1.S1.LT2.PON1.ONT39.SERV1,0,0,6757,27,0,0,46851,83
P248185792.C3000@R1.S1.LT6.PON12.ONT2.C14.P1,0,0,2100,28,0,0,2044,28
P147085248.C1000@R1.S1.LT3.PON5.ONT44.C14.P1,0,0,0,0,0,0,0,0
P247952879.C3001@R1.S1.LT6.PON8.ONT59.SERV1,0,0,6327,28,0,0,53830,95
P214917103.C3001@R1.S1.LT5.PON16.ONT48.SERV1,0,0,5577,24,0,0,59968,101
