Object ID,extendPortVlanCurrent1DayDnDiscByteCounter,extendPortVlanCurrent1DayDnFwdByteCounter,extendPortVlanCurrent1DayUpDiscByteCounter,extendPortVlanCurrent1DayUpFwdByteCounter
P47851392.C1000@R1.S1.LT1.PON14.ONT10.C14.P1,0,0,0,0
P47233920.C3000@R1.S1.LT1.PON9.ONT47.C14.P1,0,0,0,0
P47251328.C3000@R1.S1.LT1.PON9.ONT64.C14.P1,0,63378,0,61388
P46429248.C128@R1.S1.LT1.PON3.ONT30.C1.P1,0,980667,156570,975323
P46830543.C3001@R1.S1.LT1.PON6.ONT37.SERV1,0,174897,0,1514768
P47973327.C3001@R1.S1.LT1.PON15.ONT1.SERV1,0,0,0,0
P46812032.C1000@R1.S1.LT1.PON6.ONT19.C14.P1,0,236019829,0,99459524
P47109071.C3001@R1.S1.LT1.PON8.ONT53.SERV1,0,164046,0,1570676
P47986639.C3001@R1.S1.LT1.PON15.ONT14.SERV1,0,2177880,0,4924135
P48038784.C1000@R1.S1.LT1.PON15.ONT65.C14.P1,0,1338303303,0,106729177
P47858639.C3001@R1.S1.LT1.PON14.ONT17.SERV1,0,0,0,0
P46825344.C1000@R1.S1.LT1.PON6.ONT32.C14.P1,0,2753170245,0,181226616
P48025472.C1000@R1.S1.LT1.PON15.ONT52.C14.P1,0,3733717198,0,175621139
P46814080.C3000@R1.S1.LT1.PON6.ONT21.C14.P1,0,62318,0,62904
P47320960.C3000@R1.S1.LT1.PON10.ONT4.C14.P1,0,0,0,0
P47889359.C3001@R1.S1.LT1.PON14.ONT47.SERV1,0,2133287,0,4809857
P46692224.C3000@R1.S1.LT1.PON5.ONT30.C14.P1,0,62014,0,62306
P47331279.C3001@R1.S1.LT1.PON10.ONT14.SERV1,0,2194776,0,5019703
P46976896.C1000@R1.S1.LT1.PON7.ONT52.C14.P1,0,21813,0,13167
P47200128.C3000@R1.S1.LT1.PON9.ONT14.C14.P1,0,62928,0,60950
P47594368.C1000@R1.S1.LT1.PON12.ONT15.C14.P1,0,94438320,0,272584852
P47220608.C3000@R1.S1.LT1.PON9.ONT34.C14.P1,0,0,0,0
P46438272.C1000@R1.S1.LT1.PON3.ONT38.C14.P1,0,39397542475,0,4589743392
P47892352.C1000@R1.S1.LT1.PON14.ONT50.C14.P1,0,355415209,0,18863592
P46950272.C1000@R1.S1.LT1.PON7.ONT26.C14.P1,0,21369433,0,4173038
P47612800.C3000@R1.S1.LT1.PON12.ONT33.C14.P1,0,63068,0,61174
P47757184.C1000@R1.S1.LT1.PON13.ONT46.C14.P1,0,1745564156,0,286101621
P47876047.C3001@R1.S1.LT1.PON14.ONT34.SERV1,0,2264391,0,5082928
P46444608.C10@R1.S1.LT1.PON3.ONT45.C1.P1,0,0,0,0
P46827392.C3000@R1.S1.LT1.PON6.ONT34.C14.P1,0,63150,0,61466
P47764352.C1000@R1.S1.LT1.PON13.ONT53.C14.P1,0,0,0,0
P46963584.C1000@R1.S1.LT1.PON7.ONT39.C14.P1,0,0,0,0
P48012160.C1000@R1.S1.LT1.PON15.ONT39.C14.P1,0,12559,0,7581
P46298063.C3001@R1.S1.LT1.PON2.ONT29.SERV1,0,1871757,0,3568229
P47608783.C3001@R1.S1.LT1.PON12.ONT29.SERV1,0,1663375,0,3642208
P47512448.C1000@R1.S1.LT1.PON11.ONT63.C14.P1,0,0,0,0
P46532480.C1000@R1.S1.LT1.PON4.ONT2.C14.P1,0,263684,0,126466
P47060864.C3000@R1.S1.LT1.PON8.ONT6.C14.P1,0,64346,0,64988
P48149376.C3000@R1.S1.LT1.PON16.ONT45.C14.P1,0,0,0,0
P47988608.C1000@R1.S1.LT1.PON15.ONT16.C14.P1,0,0,0,0
P46940032.C1000@R1.S1.LT1.PON7.ONT16.C14.P1,0,4677076277,0,3153142369
P47199104.C1000@R1.S1.LT1.PON9.ONT13.C14.P1,0,0,0,0
P46142336.C3000@R1.S1.LT1.PON1.ONT5.C14.P1,0,0,0,0
P47216591.C3001@R1.S1.LT1.PON9.ONT30.SERV1,0,0,0,0
P47592399.C3001@R1.S1.LT1.PON12.ONT13.SERV1,0,0,0,0
P47468416.C3000@R1.S1.LT1.PON11.ONT20.C14.P1,0,63968,0,62050
P47744975.C3001@R1.S1.LT1.PON13.ONT34.SERV1,0,0,0,0
P48108416.C3000@R1.S1.LT1.PON16.ONT5.C14.P1,0,0,0,0
P48136064.C3000@R1.S1.LT1.PON16.ONT32.C14.P1,0,63218,0,61320
P46177152.C3000@R1.S1.LT1.PON1.ONT39.C14.P1,0,0,0,0
P46291840.C1000@R1.S1.LT1.PON2.ONT23.C14.P1,0,2797146438,0,158242932
P46711680.C1000@R1.S1.LT1.PON5.ONT49.C14.P1,0,994867138,0,63586049
P47203279.C3001@R1.S1.LT1.PON9.ONT17.SERV1,0,2308250,0,5155720
P47618944.C1000@R1.S1.LT1.PON12.ONT39.C14.P1,0,1551275628,0,693704103
P48010191.C3001@R1.S1.LT1.PON15.ONT37.SERV1,0,0,0,0
P46980992.C3000@R1.S1.LT1.PON7.ONT56.C14.P1,0,62932,0,64126
P47605632.C1000@R1.S1.LT1.PON12.ONT26.C14.P1,0,438152759,0,82677622
P47739776.C1000@R1.S1.LT1.PON13.ONT29.C14.P1,0,808972106,0,21419854
P46798799.C3001@R1.S1.LT1.PON6.ONT6.SERV1,0,2041594,0,4731557
P47092608.C1000@R1.S1.LT1.PON8.ONT37.C14.P1,0,0,0,0
P47581056.C1000@R1.S1.LT1.PON12.ONT2.C14.P1,0,477720409,0,22850076
P46969728.C3000@R1.S1.LT1.PON7.ONT45.C14.P1,0,63218,0,64190
P47713152.C1000@R1.S1.LT1.PON13.ONT3.C14.P1,0,0,0,0
P47731663.C3001@R1.S1.LT1.PON13.ONT21.SERV1,0,2038108,0,4629502
P48116608.C3000@R1.S1.LT1.PON16.ONT13.C14.P1,0,63750,0,62050
P46942080.C1000@R1.S1.LT1.PON7.ONT18.C14.P1,0,0,0,0
P46935936.C1000@R1.S1.LT1.PON7.ONT12.C14.P1,0,29312864,0,2675515
P47845327.C3001@R1.S1.LT1.PON14.ONT4.SERV1,0,2234187,0,4859005
P47983567.C3001@R1.S1.LT1.PON15.ONT11.SERV1,0,0,0,0
P46545792.C1000@R1.S1.LT1.PON4.ONT15.C14.P1,0,0,0,0
P46956416.C3000@R1.S1.LT1.PON7.ONT32.C14.P1,0,64128,0,62118
P47726464.C1000@R1.S1.LT1.PON13.ONT16.C14.P1,0,0,0,0
P46315471.C3001@R1.S1.LT1.PON2.ONT46.SERV1,0,172410,0,1517816
P46955392.C1000@R1.S1.LT1.PON7.ONT31.C14.P1,0,0,0,0
P46704512.C3000@R1.S1.LT1.PON5.ONT42.C14.P1,0,63374,0,76216
P47485824.C3000@R1.S1.LT1.PON11.ONT37.C14.P1,0,64046,0,75675
P46175104.C1000@R1.S1.LT1.PON1.ONT37.C14.P1,0,845292027,0,42833528
P47249280.C1000@R1.S1.LT1.PON9.ONT62.C14.P1,0,0,0,0
P46943104.C3000@R1.S1.LT1.PON7.ONT19.C14.P1,0,0,0,0
P47890383.C3001@R1.S1.LT1.PON14.ONT48.SERV1,0,155259,0,1629541
P47193039.C3001@R1.S1.LT1.PON9.ONT7.SERV1,0,2208662,0,4811627
P47885184.C1000@R1.S1.LT1.PON14.ONT43.C14.P1,0,180565245,0,11642754
P46440320.C3000@R1.S1.LT1.PON3.ONT40.C14.P1,0,0,0,0
P47230848.C3000@R1.S1.LT1.PON9.ONT44.C14.P1,0,63378,0,61388
P46833615.C3001@R1.S1.LT1.PON6.ONT40.SERV1,0,166731,0,1532504
P47067008.C3000@R1.S1.LT1.PON8.ONT12.C14.P1,0,0,0,0
P48121807.C3001@R1.S1.LT1.PON16.ONT18.SERV1,0,2184734,0,4924569
P46180303.C3001@R1.S1.LT1.PON1.ONT42.SERV1,0,178759,0,1517796
P46418895.C3001@R1.S1.LT1.PON3.ONT19.SERV1,0,0,0,0
P46820303.C3001@R1.S1.LT1.PON6.ONT27.SERV1,0,2198322,0,4947664
P47752143.C3001@R1.S1.LT1.PON13.ONT41.SERV1,0,178922,0,1492527
P46153600.C1000@R1.S1.LT1.PON1.ONT16.C14.P1,0,2230207987,0,198427548
P46979968.C1000@R1.S1.LT1.PON7.ONT55.C14.P1,0,503330213,0,15572645
P47475584.C1000@R1.S1.LT1.PON11.ONT27.C14.P1,0,412545789,0,661071489
P46828416.C1000@R1.S1.LT1.PON6.ONT35.C14.P1,0,0,0,0
P47453056.C3000@R1.S1.LT1.PON11.ONT5.C14.P1,0,63900,0,64446
P46966656.C1000@R1.S1.LT1.PON7.ONT42.C14.P1,0,0,0,0
P46422912.C3000@R1.S1.LT1.PON3.ONT23.C14.P1,0,64346,0,62118
P47872975.C3001@R1.S1.LT1.PON14.ONT31.SERV1,0,0,0,0
P46281679.C3001@R1.S1.LT1.PON2.ONT13.SERV1,0,2198676,0,4963642
P46405583.C3001@R1.S1.LT1.PON3.ONT6.SERV1,0,0,0,0
P47879119.C3001@R1.S1.LT1.PON14.ONT37.SERV1,0,2072409,0,4888512
P46294991.C3001@R1.S1.LT1.PON2.ONT26.SERV1,0,2126183,0,4800407
P46815104.C1000@R1.S1.LT1.PON6.ONT22.C14.P1,0,7564688227,0,597077587
P47462272.C1000@R1.S1.LT1.PON11.ONT14.C14.P1,0,0,0,0
P46953344.C1000@R1.S1.LT1.PON7.ONT29.C14.P1,0,1896182350,0,91210860
P46155648.C3000@R1.S1.LT1.PON1.ONT18.C14.P1,0,0,0,0
P47761280.C1000@R1.S1.LT1.PON13.ONT50.C14.P1,0,4936033255,0,753401595
P47898496.C1000@R1.S1.LT1.PON14.ONT56.C14.P1,0,21813,0,13167
P46581632.C3000@R1.S1.LT1.PON4.ONT50.C14.P1,0,63720,0,78366
P46939008.C1000@R1.S1.LT1.PON7.ONT15.C14.P1,0,0,0,0
P47716224.C1000@R1.S1.LT1.PON13.ONT6.C14.P1,0,0,0,0
P48132992.C3000@R1.S1.LT1.PON16.ONT29.C14.P1,0,0,0,0
P47105920.C3000@R1.S1.LT1.PON8.ONT50.C14.P1,0,62328,0,60366
P48026575.C3001@R1.S1.LT1.PON15.ONT53.SERV1,0,0,0,0
P46281600.C1000@R1.S1.LT1.PON2.ONT13.C14.P1,0,1218255749,0,568022470
P47059840.C3000@R1.S1.LT1.PON8.ONT5.C14.P1,0,0,0,0
